id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,tokens,held_fraction,divergences,correct,analytic_speedup
code-add-typehints,code_review,tau=3.0,0,1.6362,1466.95,0.02,22,3,45,0.5333,3,,1.4062
code-add-typehints,code_review,baseline,1,0.5525,7.9,543.96,1,0,116,,,,1.0
code-add-typehints,code_review,tau=0.0,1,6.3941,5072.73,0.18,178,11,203,0.1281,11,,1.005
code-add-typehints,code_review,tau=3.0,1,1.6657,1498.74,0.02,22,3,45,0.5333,3,,1.4062
code-add-typehints,code_review,baseline,2,0.6026,11.61,590.24,1,0,116,,,,1.0
code-add-typehints,code_review,tau=0.0,2,6.3028,4992.92,0.18,178,11,203,0.1281,11,,1.005
code-add-typehints,code_review,tau=3.0,2,1.6166,1445.08,0.02,22,3,45,0.5333,3,,1.4062
code-break-logic,code_review,baseline,0,2.2594,8.21,2250.49,1,0,486,,,,1.0
code-break-logic,code_review,tau=0.0,0,7.5355,3997.82,0.48,480,6,502,0.0458,6,,1.008
code-break-logic,code_review,tau=3.0,0,5.7892,3674.43,0.28,284,7,314,0.0987,7,,0.9874
code-break-logic,code_review,baseline,1,2.2694,9.18,2259.6,1,0,486,,,,1.0
code-break-logic,code_review,tau=0.0,1,7.3631,3914.37,0.48,480,6,502,0.0458,6,,1.008
code-break-logic,code_review,tau=3.0,1,5.5264,3478.15,0.28,284,7,314,0.0987,7,,0.9874
code-break-logic,code_review,baseline,2,2.2187,9.34,2208.61,1,0,486,,,,1.0
code-break-logic,code_review,tau=0.0,2,7.4124,3917.01,0.48,480,6,502,0.0458,6,,1.008
code-break-logic,code_review,tau=3.0,2,5.6436,3545.27,0.28,284,7,314,0.0987,7,,0.9874
doc-typo-fix,doc_summary,baseline,0,0.4493,8.03,440.68,1,0,92,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,0,3.1706,2639.51,0.07,70,8,96,0.2812,8,,0.96
doc-typo-fix,doc_summary,tau=3.0,0,0.8853,842.7,0.01,5,2,69,0.942,1,,5.3077
doc-typo-fix,doc_summary,baseline,1,0.4536,8.58,444.32,1,0,92,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,1,3.2246,2695.32,0.07,70,8,96,0.2812,8,,0.96
doc-typo-fix,doc_summary,tau=3.0,1,0.885,842.54,0.01,5,2,69,0.942,1,,5.3077
doc-typo-fix,doc_summary,baseline,2,0.4711,8.82,461.6,1,0,92,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,2,3.1208,2597.08,0.07,70,8,96,0.2812,8,,0.96
doc-typo-fix,doc_summary,tau=3.0,2,0.876,832.91,0.01,5,2,69,0.942,1,,5.3077
doc-append-sentence,doc_summary,baseline,0,0.4857,8.02,477.04,1,0,101,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,0,2.5962,1990.7,0.08,81,6,98,0.1837,6,,0.9423
doc-append-sentence,doc_summary,tau=3.0,0,2.1034,1697.75,0.05,54,5,92,0.4239,5,,1.1795
doc-append-sentence,doc_summary,baseline,1,0.5159,9.69,505.5,1,0,101,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,1,2.6022,1995.27,0.08,81,6,98,0.1837,6,,0.9423
doc-append-sentence,doc_summary,tau=3.0,1,2.1633,1756.81,0.05,54,5,92,0.4239,5,,1.1795
doc-append-sentence,doc_summary,baseline,2,0.5002,8.53,491.13,1,0,101,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,2,2.5743,1973.55,0.08,81,6,98,0.1837,6,,0.9423
doc-append-sentence,doc_summary,tau=3.0,2,2.1665,1757.04,0.05,54,5,92,0.4239,5,,1.1795
doc-reword-middle,doc_summary,baseline,0,0.3466,8.98,337.02,1,0,70,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,0,2.5601,1933.64,0.08,84,5,96,0.1354,5,,0.9897
doc-reword-middle,doc_summary,tau=3.0,0,2.733,2096.47,0.08,84,5,96,0.1354,5,,0.9897
doc-reword-middle,doc_summary,baseline,1,0.3543,8.82,344.71,1,0,70,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,1,2.6246,1986.08,0.08,84,5,96,0.1354,5,,0.9897
doc-reword-middle,doc_summary,tau=3.0,1,2.7291,2093.39,0.08,84,5,96,0.1354,5,,0.9897
doc-reword-middle,doc_summary,baseline,2,0.3668,9.8,356.4,1,0,70,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,2,2.5524,1926.81,0.08,84,5,96,0.1354,5,,0.9897
doc-reword-middle,doc_summary,tau=3.0,2,2.6255,2002.6,0.08,84,5,96,0.1354,5,,0.9897
doc-append-unrelated,doc_summary,baseline,0,0.0093,8.81,0.0,1,0,1,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,0,0.3192,309.32,0.0,1,1,0,0.0,1,,0.0
doc-append-unrelated,doc_summary,tau=3.0,0,0.3178,308.17,0.0,1,1,0,0.0,1,,0.0
doc-append-unrelated,doc_summary,baseline,1,0.0089,8.39,0.0,1,0,1,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,1,0.3104,300.67,0.0,1,1,0,0.0,1,,0.0
doc-append-unrelated,doc_summary,tau=3.0,1,0.301,291.65,0.0,1,1,0,0.0,1,,0.0
doc-append-unrelated,doc_summary,baseline,2,0.0087,8.24,0.0,1,0,1,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,2,0.3023,293.1,0.0,1,1,0,0.0,1,,0.0
doc-append-unrelated,doc_summary,tau=3.0,2,0.3068,297.35,0.0,1,1,0,0.0,1,,0.0
doc-fix-punctuation,doc_summary,baseline,0,0.2754,8.39,266.36,1,0,56,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,0,1.0468,790.58,0.04,36,4,55,0.3636,4,,1.1
doc-fix-punctuation,doc_summary,tau=3.0,0,0.5561,510.45,0.01,6,2,45,0.8889,1,,2.8125
doc-fix-punctuation,doc_summary,baseline,1,0.2558,8.11,247.17,1,0,56,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,1,1.0507,792.64,0.04,36,4,55,0.3636,4,,1.1
doc-fix-punctuation,doc_summary,tau=3.0,1,0.5583,511.12,0.01,6,2,45,0.8889,1,,2.8125
doc-fix-punctuation,doc_summary,baseline,2,0.2638,8.15,255.06,1,0,56,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,2,1.043,786.43,0.04,36,4,55,0.3636,4,,1.1
doc-fix-punctuation,doc_summary,tau=3.0,2,0.5586,510.1,0.01,6,2,45,0.8889,1,,2.8125
doc-change-key-fact,doc_summary,baseline,0,0.3152,8.43,306.12,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,0,1.1342,837.34,0.04,39,3,58,0.3448,3,pass,1.0943
doc-change-key-fact,doc_summary,tau=3.0,0,0.8557,723.37,0.02,17,3,36,0.5556,3,pass,1.1613
doc-change-key-fact,doc_summary,baseline,1,0.3273,8.92,317.75,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,1,1.1325,837.71,0.04,39,3,58,0.3448,3,pass,1.0943
doc-change-key-fact,doc_summary,tau=3.0,1,0.8551,722.86,0.02,17,3,36,0.5556,3,pass,1.1613
doc-change-key-fact,doc_summary,baseline,2,0.3275,8.88,318.07,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,2,1.1506,847.12,0.04,39,3,58,0.3448,3,pass,1.0943
doc-change-key-fact,doc_summary,tau=3.0,2,0.8437,715.44,0.02,17,3,36,0.5556,3,pass,1.1613
fact-irrelevant-row,fact_answer,baseline,0,0.6598,8.61,650.51,1,0,137,,,FAIL,1.0
fact-irrelevant-row,fact_answer,tau=0.0,0,2.9387,1615.69,0.18,182,3,187,0.0321,3,FAIL,0.959
fact-irrelevant-row,fact_answer,tau=3.0,0,2.7637,1603.34,0.16,158,3,165,0.0485,3,FAIL,0.9649
fact-irrelevant-row,fact_answer,baseline,1,0.678,8.83,668.33,1,0,137,,,FAIL,1.0
fact-irrelevant-row,fact_answer,tau=0.0,1,2.8773,1587.06,0.18,182,3,187,0.0321,3,FAIL,0.959
fact-irrelevant-row,fact_answer,tau=3.0,1,2.6669,1551.77,0.16,158,3,165,0.0485,3,FAIL,0.9649
fact-irrelevant-row,fact_answer,baseline,2,0.6358,9.49,625.68,1,0,137,,,FAIL,1.0
fact-irrelevant-row,fact_answer,tau=0.0,2,2.8579,1568.93,0.18,182,3,187,0.0321,3,FAIL,0.959
fact-irrelevant-row,fact_answer,tau=3.0,2,2.7649,1607.78,0.16,158,3,165,0.0485,3,FAIL,0.9649
fact-answer-changing-edit,fact_answer,baseline,0,0.3299,8.97,320.29,1,0,65,,,pass,1.0
fact-answer-changing-edit,fact_answer,tau=0.0,0,1.4153,1236.39,0.02,23,4,48,0.5417,4,pass,1.2632
fact-answer-changing-edit,fact_answer,tau=3.0,0,1.2061,972.62,0.03,31,2,88,0.6591,2,FAIL,2.0465
fact-answer-changing-edit,fact_answer,baseline,1,0.3281,8.93,318.59,1,0,65,,,pass,1.0
fact-answer-changing-edit,fact_answer,tau=0.0,1,1.4475,1264.19,0.02,23,4,48,0.5417,4,pass,1.2632
fact-answer-changing-edit,fact_answer,tau=3.0,1,1.2471,1007.49,0.03,31,2,88,0.6591,2,FAIL,2.0465
fact-answer-changing-edit,fact_answer,baseline,2,0.348,9.85,337.53,1,0,65,,,pass,1.0
fact-answer-changing-edit,fact_answer,tau=0.0,2,1.4769,1290.76,0.02,23,4,48,0.5417,4,pass,1.2632
fact-answer-changing-edit,fact_answer,tau=3.0,2,1.2814,1039.02,0.03,31,2,88,0.6591,2,FAIL,2.0465
fact-relabel-column,fact_answer,baseline,0,0.6341,9.55,623.92,1,0,131,,,pass,1.0
fact-relabel-column,fact_answer,tau=0.0,0,2.1985,1283.99,0.13,125,3,129,0.0388,3,FAIL,0.9699
fact-relabel-column,fact_answer,tau=3.0,0,2.2824,1304.97,0.14,138,3,143,0.042,3,FAIL,0.947
fact-relabel-column,fact_answer,baseline,1,0.5985,7.31,590.59,1,0,131,,,pass,1.0
fact-relabel-column,fact_answer,tau=0.0,1,2.1276,1241.17,0.13,125,3,129,0.0388,3,FAIL,0.9699
fact-relabel-column,fact_answer,tau=3.0,1,2.3402,1369.14,0.14,138,3,143,0.042,3,FAIL,0.947
fact-relabel-column,fact_answer,baseline,2,0.5993,8.03,590.5,1,0,131,,,pass,1.0
fact-relabel-column,fact_answer,tau=0.0,2,2.0666,1202.41,0.13,125,3,129,0.0388,3,FAIL,0.9699
fact-relabel-column,fact_answer,tau=3.0,2,2.3031,1346.92,0.14,138,3,143,0.042,3,FAIL,0.947
