id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",109,0.7798,3,43,2.5349,0.4353,pass
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.5,85,0.3647,9,94,0.9043,0.4353,pass
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=3.0,85,0.3647,9,94,0.9043,0.4353,pass
fact-change-capital-value,fact_answer,tau:0.0,101,0.1386,3,92,1.0978,0.2376,FAIL
fact-change-capital-value,fact_answer,tau:1.5,153,0.6209,2,68,2.25,0.2376,FAIL
fact-change-capital-value,fact_answer,tau:3.0,153,0.6209,2,68,2.25,0.2376,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",153,0.6209,2,68,2.25,0.2376,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",153,0.6209,2,68,2.25,0.2376,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=1.5,156,0.5962,2,73,2.137,0.2376,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=3.0,156,0.5962,2,73,2.137,0.2376,FAIL
code-rename-var,code_review,tau:0.0,67,0.1493,3,62,1.0806,0.1493,pass
code-rename-var,code_review,tau:1.5,98,0.5204,3,64,1.5312,0.1493,pass
code-rename-var,code_review,tau:3.0,101,0.9604,1,15,6.7333,0.1493,pass
code-rename-var,code_review,"confidence_gated:tau=1.5,p_cut=0.9",98,0.5204,3,64,1.5312,0.1493,pass
code-rename-var,code_review,"confidence_gated:tau=3.0,p_cut=0.9",101,0.9604,1,15,6.7333,0.1493,pass
code-rename-var,code_review,entropy_scaled:tau=1.5,107,0.4299,4,78,1.3718,0.1493,pass
code-rename-var,code_review,entropy_scaled:tau=3.0,107,0.4299,4,78,1.3718,0.1493,pass
code-introduce-bug,code_review,tau:0.0,65,0.2,2,62,1.0484,0.2154,pass
code-introduce-bug,code_review,tau:1.5,65,0.2,2,62,1.0484,0.2154,pass
code-introduce-bug,code_review,tau:3.0,218,0.1835,2,190,1.1474,0.2154,FAIL
code-introduce-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",65,0.2,2,62,1.0484,0.2154,pass
code-introduce-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",195,0.2,2,168,1.1607,0.2154,FAIL
code-introduce-bug,code_review,entropy_scaled:tau=1.5,65,0.2,2,62,1.0484,0.2154,pass
code-introduce-bug,code_review,entropy_scaled:tau=3.0,65,0.2,2,62,1.0484,0.2154,pass
code-add-guard,code_review,tau:0.0,56,0.1786,4,52,1.0769,0.375,pass
code-add-guard,code_review,tau:1.5,73,0.1644,3,72,1.0139,0.375,pass
code-add-guard,code_review,tau:3.0,68,0.2206,3,64,1.0625,0.375,pass
code-add-guard,code_review,"confidence_gated:tau=1.5,p_cut=0.9",73,0.1644,3,72,1.0139,0.375,pass
code-add-guard,code_review,"confidence_gated:tau=3.0,p_cut=0.9",68,0.2206,3,64,1.0625,0.375,pass
code-add-guard,code_review,entropy_scaled:tau=1.5,73,0.1644,3,72,1.0139,0.375,pass
code-add-guard,code_review,entropy_scaled:tau=3.0,73,0.1644,3,72,1.0139,0.375,pass
code-reformat-whitespace,code_review,tau:0.0,23,0.5652,1,20,1.15,0.5652,pass
code-reformat-whitespace,code_review,tau:1.5,18,1.0,0,2,9.0,0.5652,pass
code-reformat-whitespace,code_review,tau:3.0,18,1.0,0,2,9.0,0.5652,pass
code-reformat-whitespace,code_review,"confidence_gated:tau=1.5,p_cut=0.9",18,1.0,0,2,9.0,0.5652,pass
code-reformat-whitespace,code_review,"confidence_gated:tau=3.0,p_cut=0.9",18,1.0,0,2,9.0,0.5652,pass
code-reformat-whitespace,code_review,entropy_scaled:tau=1.5,18,1.0,0,2,9.0,0.5652,pass
code-reformat-whitespace,code_review,entropy_scaled:tau=3.0,18,1.0,0,2,9.0,0.5652,pass
code-add-typehints,code_review,tau:0.0,18,0.7778,1,10,1.8,0.9444,pass
code-add-typehints,code_review,tau:1.5,18,1.0,0,2,9.0,0.9444,pass
code-add-typehints,code_review,tau:3.0,18,1.0,0,2,9.0,0.9444,pass
code-add-typehints,code_review,"confidence_gated:tau=1.5,p_cut=0.9",18,1.0,0,2,9.0,0.9444,pass
code-add-typehints,code_review,"confidence_gated:tau=3.0,p_cut=0.9",18,1.0,0,2,9.0,0.9444,pass
code-add-typehints,code_review,entropy_scaled:tau=1.5,18,1.0,0,2,9.0,0.9444,pass
code-add-typehints,code_review,entropy_scaled:tau=3.0,18,1.0,0,2,9.0,0.9444,pass
code-break-logic,code_review,tau:0.0,69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,tau:1.5,69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,tau:3.0,69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,"confidence_gated:tau=1.5,p_cut=0.9",69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,"confidence_gated:tau=3.0,p_cut=0.9",69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,entropy_scaled:tau=1.5,69,0.0435,1,71,0.9718,0.0,FAIL
code-break-logic,code_review,entropy_scaled:tau=3.0,69,0.0435,1,71,0.9718,0.0,FAIL
doc-typo-fix,doc_summary,tau:0.0,85,0.3176,6,88,0.9659,0.4471,pass
doc-typo-fix,doc_summary,tau:1.5,76,0.9474,1,13,5.8462,0.4471,pass
doc-typo-fix,doc_summary,tau:3.0,76,1.0,0,5,15.2,0.4471,pass
doc-typo-fix,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",76,0.9474,1,13,5.8462,0.4471,pass
doc-typo-fix,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",76,1.0,0,5,15.2,0.4471,pass
doc-typo-fix,doc_summary,entropy_scaled:tau=1.5,85,0.3176,6,88,0.9659,0.4471,pass
doc-typo-fix,doc_summary,entropy_scaled:tau=3.0,76,0.9474,1,13,5.8462,0.4471,pass
doc-append-sentence,doc_summary,tau:0.0,99,0.4343,5,72,1.375,0.4949,pass
doc-append-sentence,doc_summary,tau:1.5,94,0.6383,2,51,1.8431,0.4949,pass
doc-append-sentence,doc_summary,tau:3.0,94,0.6383,2,51,1.8431,0.4949,pass
doc-append-sentence,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",94,0.6383,2,51,1.8431,0.4949,pass
doc-append-sentence,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",94,0.6383,2,51,1.8431,0.4949,pass
doc-append-sentence,doc_summary,entropy_scaled:tau=1.5,99,0.4343,5,72,1.375,0.4949,pass
doc-append-sentence,doc_summary,entropy_scaled:tau=3.0,99,0.4343,5,72,1.375,0.4949,pass
doc-reword-middle,doc_summary,tau:0.0,84,0.6905,4,48,1.75,0.75,FAIL
doc-reword-middle,doc_summary,tau:1.5,76,0.9474,1,14,5.4286,0.75,FAIL
doc-reword-middle,doc_summary,tau:3.0,76,0.9474,1,14,5.4286,0.75,FAIL
doc-reword-middle,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",76,0.9474,1,14,5.4286,0.75,FAIL
doc-reword-middle,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",76,0.9474,1,14,5.4286,0.75,FAIL
doc-reword-middle,doc_summary,entropy_scaled:tau=1.5,83,0.7349,3,41,2.0244,0.75,FAIL
doc-reword-middle,doc_summary,entropy_scaled:tau=3.0,76,0.9474,1,14,5.4286,0.75,FAIL
doc-append-unrelated,doc_summary,tau:0.0,65,0.3538,3,62,1.0484,0.4923,pass
doc-append-unrelated,doc_summary,tau:1.5,65,0.4769,3,49,1.3265,0.4923,FAIL
doc-append-unrelated,doc_summary,tau:3.0,57,1.0,0,4,14.25,0.4923,FAIL
doc-append-unrelated,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",65,0.4769,3,49,1.3265,0.4923,FAIL
doc-append-unrelated,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",57,1.0,0,4,14.25,0.4923,FAIL
doc-append-unrelated,doc_summary,entropy_scaled:tau=1.5,64,0.2969,4,65,0.9846,0.4923,pass
doc-append-unrelated,doc_summary,entropy_scaled:tau=3.0,64,0.2969,4,65,0.9846,0.4923,pass
doc-fix-punctuation,doc_summary,tau:0.0,57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,tau:1.5,57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,tau:3.0,57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,entropy_scaled:tau=1.5,57,1.0,0,4,14.25,1.0,FAIL
doc-fix-punctuation,doc_summary,entropy_scaled:tau=3.0,57,1.0,0,4,14.25,1.0,FAIL
doc-change-key-fact,doc_summary,tau:0.0,55,0.6364,3,36,1.5278,0.6,pass
doc-change-key-fact,doc_summary,tau:1.5,55,0.7091,2,28,1.9643,0.6,pass
doc-change-key-fact,doc_summary,tau:3.0,55,0.7091,2,28,1.9643,0.6,pass
doc-change-key-fact,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",55,0.7091,2,28,1.9643,0.6,pass
doc-change-key-fact,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",55,0.7091,2,28,1.9643,0.6,pass
doc-change-key-fact,doc_summary,entropy_scaled:tau=1.5,53,0.566,3,39,1.359,0.6,pass
doc-change-key-fact,doc_summary,entropy_scaled:tau=3.0,53,0.566,3,39,1.359,0.6,pass
fact-irrelevant-row,fact_answer,tau:0.0,82,0.8171,1,24,3.4167,0.8537,pass
fact-irrelevant-row,fact_answer,tau:1.5,120,0.825,1,33,3.6364,0.8537,pass
fact-irrelevant-row,fact_answer,tau:3.0,120,0.825,1,33,3.6364,0.8537,pass
fact-irrelevant-row,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",120,0.825,1,33,3.6364,0.8537,pass
fact-irrelevant-row,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",120,0.825,1,33,3.6364,0.8537,pass
fact-irrelevant-row,fact_answer,entropy_scaled:tau=1.5,82,0.8171,1,24,3.4167,0.8537,pass
fact-irrelevant-row,fact_answer,entropy_scaled:tau=3.0,82,0.8171,1,24,3.4167,0.8537,pass
fact-answer-changing-edit,fact_answer,tau:0.0,113,0.115,2,110,1.0273,0.1416,pass
fact-answer-changing-edit,fact_answer,tau:1.5,85,0.3529,9,90,0.9444,0.1416,pass
fact-answer-changing-edit,fact_answer,tau:3.0,109,0.7982,3,41,2.6585,0.1416,pass
fact-answer-changing-edit,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",85,0.3529,9,90,0.9444,0.1416,pass
fact-answer-changing-edit,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",85,0.3529,9,90,0.9444,0.1416,pass
fact-answer-changing-edit,fact_answer,entropy_scaled:tau=1.5,113,0.115,2,110,1.0273,0.1416,pass
fact-answer-changing-edit,fact_answer,entropy_scaled:tau=3.0,85,0.3529,9,90,0.9444,0.1416,pass
fact-relabel-column,fact_answer,tau:0.0,103,0.9612,1,15,6.8667,0.9903,pass
fact-relabel-column,fact_answer,tau:1.5,103,0.9612,1,15,6.8667,0.9903,pass
fact-relabel-column,fact_answer,tau:3.0,102,1.0,0,7,14.5714,0.9903,pass
fact-relabel-column,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",103,0.9612,1,15,6.8667,0.9903,pass
fact-relabel-column,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",102,1.0,0,7,14.5714,0.9903,pass
fact-relabel-column,fact_answer,entropy_scaled:tau=1.5,103,0.9612,1,15,6.8667,0.9903,pass
fact-relabel-column,fact_answer,entropy_scaled:tau=3.0,103,0.9612,1,15,6.8667,0.9903,pass
